start_time,total_pkts,total_bytes_MB,ave_rate_Mbps,std_rate_Mbps
200903310700,8917383,6072.81,56.61,10.25
200903310715,9604430,6504.09,60.60,10.04
200903310730,10069657,6869.18,64.04,10.43
200903310745,9034034,5962.41,55.58,9.05
200903310800,9307305,5941.42,55.34,9.66
200903310815,9727501,6818.20,63.55,11.23
200903310830,9710991,6548.59,61.03,11.89
200903310845,11269321,7403.24,69.02,11.53
200903310900,10361141,7084.51,66.03,12.40
200903310915,10878310,7664.30,71.42,10.23
200903310930,12899312,9057.07,84.45,12.72
200903310945,14248481,10258.68,95.85,10.71
200903311000,16241171,10770.00,100.38,10.24
200903311015,14129148,9600.63,89.47,14.63
200903311030,13658776,8933.82,83.27,15.24
200903311045,11749314,7680.06,71.61,9.54
200903311100,14021956,9250.66,86.15,10.60
200903311115,14742610,10309.03,96.20,17.22
200903311130,13598230,9286.30,86.55,12.70
200903311145,14699127,10208.50,95.13,10.63
200903311200,14906888,10525.40,98.08,12.93
200903311215,15194320,10707.61,99.79,14.51
200903311230,15603670,10416.35,97.17,15.70
200903311245,14599835,9593.48,89.39,10.97
200903311300,15475494,10421.61,97.11,12.25
200903311315,16087756,11226.58,104.67,12.94
200903311330,16564621,11189.99,104.25,11.73
200903311345,18025288,12555.35,117.02,19.17
200903311400,16062745,11184.08,104.33,18.95
200903311415,15565291,10461.87,97.46,10.32
200903311430,16934640,11913.99,111.07,13.77
200903311445,19846949,13924.46,129.71,18.16
200903311500,17784044,11863.53,110.59,18.68
200903311515,17821847,11468.22,106.87,13.36
200903311530,20473980,12813.56,119.35,20.49
200903311545,20890865,12627.20,117.74,11.59
200903311600,22176988,12990.99,121.04,15.05
200903311615,24322547,14260.40,132.99,15.23
200903311630,20852129,12272.82,114.36,14.24
200903311645,22200804,12381.95,115.46,14.04
200903311700,21438249,13065.59,121.72,15.40
200903311715,22900981,14069.07,131.19,13.99
200903311730,22060876,13440.84,125.31,12.43
200903311745,22837164,13345.21,124.39,13.74
200903311800,24432499,15730.30,146.64,24.37
200903311815,21615619,13045.41,121.50,14.53
200903311830,19886611,11577.57,108.00,15.50
200903311845,22162297,13771.73,128.30,21.46
200903311900,20261009,13352.34,124.46,14.54
200903311915,18487503,12537.55,116.84,13.26
200903311930,18259226,12337.10,115.12,15.29
200903311945,16945854,11263.11,104.99,13.93
200903312000,17393601,11817.00,110.09,17.39
