date,start_time,end_time,duration,total_pkts,ave_rate,std_rate
2007-4-1,14:00:00,14:15:00,899.56,9503556,53.53,6.62
2007-4-2,14:00:00,14:15:00,900.04,17266433,96.25,11.29
2007-4-3,14:00:01,14:15:00,899.53,22525679,95.91,11.33
2007-4-4,14:00:00,14:15:01,900.7,19976026,120.88,15.81
2007-4-5,14:00:00,14:15:00,900.04,16193683,97.83,16.69
2007-4-6,14:00:00,14:15:00,899.87,16228107,96.58,10.14
2007-4-7,14:00:00,14:15:00,900.42,12614027,72.33,6.75
2007-4-8,14:00:00,14:15:00,900.35,10458705,57.62,5.36
2007-4-9,14:00:01,14:15:00,899.07,20078581,120.18,16.2
2007-4-10,14:00:01,14:15:01,899.6,16854264,95.67,16.81
2007-4-11,14:00:00,14:15:00,900.27,21104839,134.33,21.07
2007-4-12,14:00:01,14:15:01,899.99,23481099,137.78,13.09
2007-4-13,14:00:00,14:15:00,899.91,23099769,141.79,12.44
2007-4-14,14:00:01,14:15:01,900.13,16220089,89.77,9.29
2007-4-15,14:00:01,14:15:01,899.71,12550521,67.62,9.79
2007-4-16,14:00:00,14:15:00,899.78,23476196,139.42,14.8
2007-4-17,14:00:00,14:15:01,900.36,26160610,150.99,6.1
2007-4-18,14:00:01,14:15:01,900.12,21496048,124.42,18.16
2007-4-19,14:00:00,14:15:01,900.29,27404285,173.54,9.39
2007-4-20,14:00:01,14:15:00,899.54,23734818,146.76,14.02
2007-4-21,14:00:01,14:15:00,899.28,16331177,94.07,12.31
2007-4-22,14:00:00,14:15:00,900.03,12661244,74.1,7.37
2007-4-23,14:00:01,14:15:00,899.51,18333157,118.28,20.57
2007-4-24,14:00:01,14:15:01,899.97,25140158,165.36,7.9
2007-4-25,14:00:00,14:15:01,900.61,24192927,150.02,17.65
2007-4-26,14:00:00,14:15:00,899.9,26178851,167.48,9.89
2007-4-27,14:00:01,14:15:01,899.93,24196520,148.68,13.01
2007-4-28,14:00:00,14:15:00,900.12,15303797,91.39,11.84
2007-4-29,14:00:00,14:15:00,899.95,11918679,68.46,11.32
