dataset,algorithm,quantity,rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff,res_sizes,n_leaking_rate,spectral_rads,n_nodes,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
longterm,esn,datarate,142.7359336,0.137616158,0.022769928,10,1,,,,,,100,0.2,0.3,,,,,,,,,
longterm,esn,datarate,145.3077489,0.190620899,0.021995068,10,1,,,,,,100,0.2,0.5,,,,,,,,,
longterm,esn,datarate,141.9562421,0.09266901,0.021904945,10,1,,,,,,100,0.2,0.7,,,,,,,,,
longterm,esn,datarate,136.8980189,0.092410088,0.02197504,10,1,,,,,,100,0.2,0.9,,,,,,,,,
longterm,esn,datarate,190.0176722,0.092628956,0.021790981,10,1,,,,,,100,0.3,0.1,,,,,,,,,
longterm,esn,datarate,159.7321165,0.126518965,0.021640062,10,1,,,,,,100,0.3,0.3,,,,,,,,,
longterm,esn,datarate,134.8988636,0.116245031,0.021781921,10,1,,,,,,100,0.3,0.5,,,,,,,,,
longterm,esn,datarate,147.1151251,0.143759012,0.045251131,10,1,,,,,,100,0.3,0.7,,,,,,,,,
longterm,esn,datarate,139.339674,0.103331089,0.022478104,10,1,,,,,,100,0.3,0.9,,,,,,,,,
longterm,esn,datarate,280.5860976,0.180464983,0.024311781,10,1,,,,,,100,0.5,0.1,,,,,,,,,
longterm,esn,datarate,151.8637189,0.102544069,0.024069071,10,1,,,,,,100,0.5,0.3,,,,,,,,,
longterm,esn,datarate,146.5966265,0.132135868,0.023828983,10,1,,,,,,100,0.5,0.5,,,,,,,,,
longterm,esn,datarate,140.2874062,0.101545095,0.024246931,10,1,,,,,,100,0.5,0.7,,,,,,,,,
longterm,esn,datarate,139.8172106,0.121582031,0.023768902,10,1,,,,,,100,0.5,0.9,,,,,,,,,
longterm,esn,datarate,176.0544582,0.102199078,0.023886919,10,1,,,,,,100,0.8,0.1,,,,,,,,,
longterm,esn,datarate,131.7711924,0.103991032,0.024254084,10,1,,,,,,100,0.8,0.3,,,,,,,,,
longterm,esn,datarate,141.4328189,0.186579943,0.041712999,10,1,,,,,,100,0.8,0.5,,,,,,,,,
longterm,esn,datarate,133.3229933,0.222073078,0.024239063,10,1,,,,,,100,0.8,0.7,,,,,,,,,
longterm,esn,datarate,132.726479,0.102907181,0.024607897,10,1,,,,,,100,0.8,0.9,,,,,,,,,
longterm,esn,datarate,207.9686141,0.165222883,0.032647133,10,1,,,,,,200,0.1,0.1,,,,,,,,,
longterm,esn,datarate,180.5589556,0.204125881,0.032582998,10,1,,,,,,200,0.1,0.3,,,,,,,,,
longterm,esn,datarate,186.4788447,0.145605803,0.032335997,10,1,,,,,,200,0.1,0.5,,,,,,,,,
longterm,esn,datarate,166.4007444,0.170292139,0.032397985,10,1,,,,,,200,0.1,0.7,,,,,,,,,
longterm,esn,datarate,181.4227681,0.164051056,0.032377005,10,1,,,,,,200,0.1,0.9,,,,,,,,,
longterm,esn,datarate,222.7376782,0.201859951,0.032620907,10,1,,,,,,200,0.2,0.1,,,,,,,,,
longterm,esn,datarate,192.6067096,0.290253878,0.030361891,10,1,,,,,,200,0.2,0.3,,,,,,,,,
longterm,esn,datarate,174.5991753,0.179749966,0.030400991,10,1,,,,,,200,0.2,0.5,,,,,,,,,
longterm,esn,datarate,192.816743,0.228946209,0.030180931,10,1,,,,,,200,0.2,0.7,,,,,,,,,
longterm,esn,datarate,171.3575591,0.178348064,0.032025099,10,1,,,,,,200,0.2,0.9,,,,,,,,,
longterm,esn,datarate,226.9240335,0.191061974,0.030272007,10,1,,,,,,200,0.3,0.1,,,,,,,,,
longterm,esn,datarate,181.3967676,0.135176897,0.030542135,10,1,,,,,,200,0.3,0.3,,,,,,,,,
longterm,esn,datarate,175.8150952,0.170984983,0.030363083,10,1,,,,,,200,0.3,0.5,,,,,,,,,
longterm,esn,datarate,183.3936831,0.157710075,0.031435013,10,1,,,,,,200,0.3,0.7,,,,,,,,,
longterm,esn,datarate,180.5897175,0.244673014,0.030158043,10,1,,,,,,200,0.3,0.9,,,,,,,,,
longterm,esn,datarate,217.6917112,0.202049017,0.030319929,10,1,,,,,,200,0.5,0.1,,,,,,,,,
longterm,esn,datarate,197.5615102,0.158267975,0.030551195,10,1,,,,,,200,0.5,0.3,,,,,,,,,
longterm,esn,datarate,181.9305743,0.213387012,0.03042984,10,1,,,,,,200,0.5,0.5,,,,,,,,,
longterm,esn,datarate,162.0518472,0.296721935,0.092806101,10,1,,,,,,200,0.5,0.7,,,,,,,,,
longterm,esn,datarate,152.1872321,0.237169027,0.030620098,10,1,,,,,,200,0.5,0.9,,,,,,,,,
longterm,esn,datarate,199.9951744,0.250700951,0.061572075,10,1,,,,,,200,0.8,0.1,,,,,,,,,
longterm,esn,datarate,163.3641993,0.235841036,0.030382872,10,1,,,,,,200,0.8,0.3,,,,,,,,,
longterm,esn,datarate,150.609167,0.159667015,0.030539989,10,1,,,,,,200,0.8,0.5,,,,,,,,,
longterm,esn,datarate,162.8627126,0.168859959,0.03063798,10,1,,,,,,200,0.8,0.7,,,,,,,,,
longterm,esn,datarate,150.4550812,0.209950924,0.030685902,10,1,,,,,,200,0.8,0.9,,,,,,,,,
longterm,esn,datarate,521.3366808,0.244096041,0.050374985,10,1,,,,,,400,0.1,0.1,,,,,,,,,
longterm,esn,datarate,375.3581434,0.281960011,0.049314976,10,1,,,,,,400,0.1,0.3,,,,,,,,,
longterm,esn,datarate,418.2266369,0.247283936,0.049540997,10,1,,,,,,400,0.1,0.5,,,,,,,,,
longterm,esn,datarate,422.8843919,0.238390923,0.049385071,10,1,,,,,,400,0.1,0.7,,,,,,,,,
longterm,esn,datarate,332.5864898,0.309180021,0.049894094,10,1,,,,,,400,0.1,0.9,,,,,,,,,
longterm,esn,datarate,603.1195837,0.279768944,0.049585104,10,1,,,,,,400,0.2,0.1,,,,,,,,,
longterm,esn,datarate,311.1989098,0.240040064,0.051208019,10,1,,,,,,400,0.2,0.3,,,,,,,,,
longterm,esn,datarate,305.1821551,0.273880005,0.047639132,10,1,,,,,,400,0.2,0.5,,,,,,,,,
longterm,esn,datarate,337.2879641,0.375179052,0.052028894,10,1,,,,,,400,0.2,0.7,,,,,,,,,
longterm,esn,datarate,333.3943618,0.253619909,0.052077055,10,1,,,,,,400,0.2,0.9,,,,,,,,,
longterm,esn,datarate,738.8059887,0.336668015,0.052052021,10,1,,,,,,400,0.3,0.1,,,,,,,,,
longterm,esn,datarate,381.298149,0.240135908,0.052484989,10,1,,,,,,400,0.3,0.3,,,,,,,,,
longterm,esn,datarate,359.5867199,0.258002043,0.051929951,10,1,,,,,,400,0.3,0.5,,,,,,,,,
longterm,esn,datarate,276.1475455,0.267056942,0.052477837,10,1,,,,,,400,0.3,0.7,,,,,,,,,
longterm,esn,datarate,303.6311414,0.33417511,0.052299976,10,1,,,,,,400,0.3,0.9,,,,,,,,,
longterm,esn,datarate,721.3391502,0.31893301,0.04912591,10,1,,,,,,400,0.5,0.1,,,,,,,,,
longterm,esn,datarate,276.8921977,0.280797958,0.049326181,10,1,,,,,,400,0.5,0.3,,,,,,,,,
longterm,esn,datarate,240.7742429,0.336535931,0.049404144,10,1,,,,,,400,0.5,0.5,,,,,,,,,
longterm,esn,datarate,280.074764,0.369266033,0.050646067,10,1,,,,,,400,0.5,0.7,,,,,,,,,
longterm,esn,datarate,259.6894516,0.269978046,0.048069954,10,1,,,,,,400,0.5,0.9,,,,,,,,,
longterm,esn,datarate,1067.76201,0.264906883,0.04975009,10,1,,,,,,400,0.8,0.1,,,,,,,,,
longterm,esn,datarate,284.140806,0.239806175,0.048425913,10,1,,,,,,400,0.8,0.3,,,,,,,,,
longterm,esn,datarate,245.8000738,0.262737036,0.049343109,10,1,,,,,,400,0.8,0.5,,,,,,,,,
longterm,esn,datarate,236.6254838,0.371208906,0.047789097,10,1,,,,,,400,0.8,0.7,,,,,,,,,
longterm,esn,datarate,176.7196421,0.420005083,0.049314976,10,1,,,,,,400,0.8,0.9,,,,,,,,,
longterm,esn,datarate,1435.393788,0.566046953,0.071497917,10,1,,,,,,600,0.1,0.1,,,,,,,,,
longterm,esn,datarate,749.6817675,0.452834129,0.071509838,10,1,,,,,,600,0.1,0.3,,,,,,,,,
longterm,esn,datarate,716.9876685,0.669632912,0.071613073,10,1,,,,,,600,0.1,0.5,,,,,,,,,
longterm,esn,datarate,641.2717494,0.530098915,0.123169184,10,1,,,,,,600,0.1,0.7,,,,,,,,,
longterm,esn,datarate,562.1951953,0.403658867,0.071975946,10,1,,,,,,600,0.1,0.9,,,,,,,,,
longterm,esn,datarate,1855.00458,0.492107868,0.068197012,10,1,,,,,,600,0.2,0.1,,,,,,,,,
longterm,esn,datarate,871.0097899,0.530987024,0.072290182,10,1,,,,,,600,0.2,0.3,,,,,,,,,
longterm,esn,datarate,569.2805829,0.454859972,0.071870089,10,1,,,,,,600,0.2,0.5,,,,,,,,,
longterm,esn,datarate,640.5124284,0.409397125,0.07230401,10,1,,,,,,600,0.2,0.7,,,,,,,,,
longterm,esn,datarate,624.6060827,0.449713945,0.073729038,10,1,,,,,,600,0.2,0.9,,,,,,,,,
longterm,esn,datarate,1810.160793,0.466398001,0.071617126,10,1,,,,,,600,0.3,0.1,,,,,,,,,
longterm,esn,datarate,634.6006779,0.607816935,0.071550131,10,1,,,,,,600,0.3,0.3,,,,,,,,,
longterm,esn,datarate,546.4156773,0.442445993,0.067841053,10,1,,,,,,600,0.3,0.5,,,,,,,,,
longterm,esn,datarate,629.4056389,0.430635929,0.072193146,10,1,,,,,,600,0.3,0.7,,,,,,,,,
longterm,esn,datarate,484.9975098,0.612686157,0.071972132,10,1,,,,,,600,0.3,0.9,,,,,,,,,
longterm,esn,datarate,843.3775179,0.43742013,0.067996025,10,1,,,,,,600,0.5,0.1,,,,,,,,,
longterm,esn,datarate,579.0561672,0.422563076,0.071734905,10,1,,,,,,600,0.5,0.3,,,,,,,,,
longterm,esn,datarate,557.02373,0.520905018,0.117757082,10,1,,,,,,600,0.5,0.5,,,,,,,,,
longterm,esn,datarate,462.4628572,0.378402948,0.071875095,10,1,,,,,,600,0.5,0.7,,,,,,,,,
longterm,esn,datarate,363.8071397,0.396833897,0.072146893,10,1,,,,,,600,0.5,0.9,,,,,,,,,
longterm,esn,datarate,1055.040582,0.450163841,0.073160887,10,1,,,,,,600,0.8,0.1,,,,,,,,,
longterm,esn,datarate,509.2152106,0.476179123,0.075434923,10,1,,,,,,600,0.8,0.3,,,,,,,,,
longterm,esn,datarate,418.7676113,0.394438982,0.076004982,10,1,,,,,,600,0.8,0.5,,,,,,,,,
longterm,esn,datarate,249.2237362,0.632369995,0.072063923,10,1,,,,,,600,0.8,0.7,,,,,,,,,
longterm,esn,datarate,267.1044602,0.503329039,0.072285891,10,1,,,,,,600,0.8,0.9,,,,,,,,,
longterm,esn,datarate,7983.59826,1.256274939,0.186401129,10,1,,,,,,1000,0.1,0.1,,,,,,,,,
longterm,esn,datarate,3109.000281,1.216623068,0.213809967,10,1,,,,,,1000,0.1,0.3,,,,,,,,,
longterm,esn,datarate,2294.593924,0.967154026,0.220006943,10,1,,,,,,1000,0.1,0.5,,,,,,,,,
longterm,esn,datarate,2177.061692,1.1045959,0.17145896,10,1,,,,,,1000,0.1,0.7,,,,,,,,,
longterm,esn,datarate,1811.355489,1.484271049,0.197652102,10,1,,,,,,1000,0.1,0.9,,,,,,,,,
longterm,esn,datarate,4168.567012,1.165286064,0.251722097,10,1,,,,,,1000,0.2,0.1,,,,,,,,,
longterm,esn,datarate,1889.894255,1.1619699,0.223624945,10,1,,,,,,1000,0.2,0.3,,,,,,,,,
longterm,esn,datarate,2231.79988,1.354308844,0.291288853,10,1,,,,,,1000,0.2,0.5,,,,,,,,,
longterm,esn,datarate,2138.872733,1.058661938,0.227193117,10,1,,,,,,1000,0.2,0.7,,,,,,,,,
longterm,esn,datarate,1691.688411,1.16488409,0.181061029,10,1,,,,,,1000,0.2,0.9,,,,,,,,,
longterm,esn,datarate,4604.534182,1.043057919,0.306592941,10,1,,,,,,1000,0.3,0.1,,,,,,,,,
longterm,esn,datarate,2438.088056,1.143459082,0.211946011,10,1,,,,,,1000,0.3,0.3,,,,,,,,,
longterm,esn,datarate,1767.410655,1.079817057,0.18856883,10,1,,,,,,1000,0.3,0.5,,,,,,,,,
longterm,esn,datarate,1547.810537,1.349216938,0.255337954,10,1,,,,,,1000,0.3,0.7,,,,,,,,,
longterm,esn,datarate,1413.214399,1.119157076,0.224581957,10,1,,,,,,1000,0.3,0.9,,,,,,,,,
longterm,esn,datarate,2768.097306,1.187947989,0.180284023,10,1,,,,,,1000,0.5,0.1,,,,,,,,,
longterm,esn,datarate,2161.197647,0.983115196,0.209595919,10,1,,,,,,1000,0.5,0.3,,,,,,,,,
longterm,esn,datarate,1122.220398,1.151668072,0.216643095,10,1,,,,,,1000,0.5,0.5,,,,,,,,,
longterm,esn,datarate,996.8800489,1.033413172,0.217060089,10,1,,,,,,1000,0.5,0.7,,,,,,,,,
longterm,esn,datarate,848.5094836,1.020059109,0.21935606,10,1,,,,,,1000,0.5,0.9,,,,,,,,,
longterm,esn,datarate,2718.604842,1.32753706,0.229207039,10,1,,,,,,1000,0.8,0.1,,,,,,,,,
longterm,esn,datarate,924.056979,1.722523928,0.218833923,10,1,,,,,,1000,0.8,0.3,,,,,,,,,
longterm,esn,datarate,937.4175042,1.42744112,0.235296965,10,1,,,,,,1000,0.8,0.5,,,,,,,,,
longterm,esn,datarate,637.8799633,1.230082035,0.296815157,10,1,,,,,,1000,0.8,0.7,,,,,,,,,
longterm,esn,datarate,587.940462,1.016304016,0.173784971,10,1,,,,,,1000,0.8,0.9,,,,,,,,,
longterm,esn,datarate,154.9888354,0.067478895,0.016757011,20,1,,,,,,50,0.1,0.1,,,,,,,,,
longterm,esn,datarate,147.1088922,0.066612005,0.016586065,20,1,,,,,,50,0.1,0.3,,,,,,,,,
longterm,esn,datarate,142.4743902,0.067242146,0.016733885,20,1,,,,,,50,0.1,0.5,,,,,,,,,
longterm,esn,datarate,143.0353187,0.067070961,0.016653061,20,1,,,,,,50,0.1,0.7,,,,,,,,,
longterm,esn,datarate,137.2710066,0.067283869,0.016641855,20,1,,,,,,50,0.1,0.9,,,,,,,,,
longterm,esn,datarate,147.7820765,0.067477942,0.016616106,20,1,,,,,,50,0.2,0.1,,,,,,,,,
longterm,esn,datarate,141.2020427,0.066698074,0.016726971,20,1,,,,,,50,0.2,0.3,,,,,,,,,
longterm,esn,datarate,147.643713,0.066945791,0.016638994,20,1,,,,,,50,0.2,0.5,,,,,,,,,
longterm,esn,datarate,155.7782633,0.066936016,0.016673088,20,1,,,,,,50,0.2,0.7,,,,,,,,,
longterm,esn,datarate,149.3817246,0.067215204,0.016686916,20,1,,,,,,50,0.2,0.9,,,,,,,,,
longterm,esn,datarate,148.5810151,0.126483917,0.016787052,20,1,,,,,,50,0.3,0.1,,,,,,,,,
longterm,esn,datarate,141.158758,0.067018986,0.016649008,20,1,,,,,,50,0.3,0.3,,,,,,,,,
longterm,esn,datarate,148.673184,0.067076206,0.016817808,20,1,,,,,,50,0.3,0.5,,,,,,,,,
longterm,esn,datarate,148.1615499,0.067036867,0.016653061,20,1,,,,,,50,0.3,0.7,,,,,,,,,
longterm,esn,datarate,133.8410407,0.067162037,0.016826868,20,1,,,,,,50,0.3,0.9,,,,,,,,,
longterm,esn,datarate,169.4638282,0.067090034,0.016703129,20,1,,,,,,50,0.5,0.1,,,,,,,,,
longterm,esn,datarate,143.5025453,0.067155123,0.016704082,20,1,,,,,,50,0.5,0.3,,,,,,,,,
longterm,esn,datarate,141.0088,0.066817045,0.016666174,20,1,,,,,,50,0.5,0.5,,,,,,,,,
longterm,esn,datarate,133.7046149,0.067078114,0.016685963,20,1,,,,,,50,0.5,0.7,,,,,,,,,
longterm,esn,datarate,145.220466,0.066980124,0.016592026,20,1,,,,,,50,0.5,0.9,,,,,,,,,
longterm,esn,datarate,162.3607762,0.066957951,0.016710997,20,1,,,,,,50,0.8,0.1,,,,,,,,,
longterm,esn,datarate,139.8921991,0.067147017,0.01670599,20,1,,,,,,50,0.8,0.3,,,,,,,,,
longterm,esn,datarate,140.9383133,0.067158937,0.016708851,20,1,,,,,,50,0.8,0.5,,,,,,,,,
longterm,esn,datarate,137.9393725,0.066745043,0.016818047,20,1,,,,,,50,0.8,0.7,,,,,,,,,
longterm,esn,datarate,147.7423368,0.067398071,0.01681304,20,1,,,,,,50,0.8,0.9,,,,,,,,,
longterm,esn,datarate,163.963929,0.149312019,0.023195028,20,1,,,,,,100,0.1,0.1,,,,,,,,,
longterm,esn,datarate,138.9687018,0.132435083,0.058399916,20,1,,,,,,100,0.1,0.3,,,,,,,,,
longterm,esn,datarate,140.4658762,0.121055841,0.023079872,20,1,,,,,,100,0.1,0.5,,,,,,,,,
longterm,esn,datarate,139.6876049,0.191622019,0.027100086,20,1,,,,,,100,0.1,0.7,,,,,,,,,
longterm,esn,datarate,140.3493147,0.114563942,0.022969961,20,1,,,,,,100,0.1,0.9,,,,,,,,,
longterm,esn,datarate,171.0489049,0.126084805,0.022753954,20,1,,,,,,100,0.2,0.1,,,,,,,,,
longterm,esn,datarate,135.7423749,0.108937979,0.022980928,20,1,,,,,,100,0.2,0.3,,,,,,,,,
longterm,esn,datarate,139.767276,0.096910954,0.02314496,20,1,,,,,,100,0.2,0.5,,,,,,,,,
longterm,esn,datarate,132.8909147,0.118862152,0.022957802,20,1,,,,,,100,0.2,0.7,,,,,,,,,
longterm,esn,datarate,130.7440693,0.096996069,0.022997856,20,1,,,,,,100,0.2,0.9,,,,,,,,,
longterm,esn,datarate,146.6867137,0.123249054,0.022625923,20,1,,,,,,100,0.3,0.1,,,,,,,,,
longterm,esn,datarate,141.9989527,0.096293211,0.022587061,20,1,,,,,,100,0.3,0.3,,,,,,,,,
longterm,esn,datarate,131.1262779,0.097198963,0.022550106,20,1,,,,,,100,0.3,0.5,,,,,,,,,
longterm,esn,datarate,141.9504692,0.096236944,0.022564173,20,1,,,,,,100,0.3,0.7,,,,,,,,,
longterm,esn,datarate,142.0345759,0.097254038,0.023017168,20,1,,,,,,100,0.3,0.9,,,,,,,,,
longterm,esn,datarate,181.1549444,0.097887039,0.022804022,20,1,,,,,,100,0.5,0.1,,,,,,,,,
longterm,esn,datarate,141.05737,0.097924948,0.023139954,20,1,,,,,,100,0.5,0.3,,,,,,,,,
longterm,esn,datarate,136.5477231,0.097448826,0.022830009,20,1,,,,,,100,0.5,0.5,,,,,,,,,
longterm,esn,datarate,130.7264973,0.097859859,0.022855997,20,1,,,,,,100,0.5,0.7,,,,,,,,,
longterm,esn,datarate,127.8653528,0.097590923,0.022974014,20,1,,,,,,100,0.5,0.9,,,,,,,,,
longterm,esn,datarate,170.4378622,0.098353148,0.023021936,20,1,,,,,,100,0.8,0.1,,,,,,,,,
longterm,esn,datarate,136.8525632,0.098279953,0.023077011,20,1,,,,,,100,0.8,0.3,,,,,,,,,
longterm,esn,datarate,128.4913607,0.097028971,0.022769928,20,1,,,,,,100,0.8,0.5,,,,,,,,,
longterm,esn,datarate,136.0822538,0.09760499,0.02295804,20,1,,,,,,100,0.8,0.7,,,,,,,,,
longterm,esn,datarate,139.5533627,0.098315001,0.022712946,20,1,,,,,,100,0.8,0.9,,,,,,,,,
longterm,esn,datarate,185.9292954,0.19250989,0.034404039,20,1,,,,,,200,0.1,0.1,,,,,,,,,
longterm,esn,datarate,166.8088603,0.320025921,0.03305006,20,1,,,,,,200,0.1,0.3,,,,,,,,,
longterm,esn,datarate,158.4456154,0.144207954,0.032299995,20,1,,,,,,200,0.1,0.5,,,,,,,,,
longterm,esn,datarate,146.8161021,0.16831398,0.039793015,20,1,,,,,,200,0.1,0.7,,,,,,,,,
longterm,esn,datarate,154.7463009,0.37954402,0.03313899,20,1,,,,,,200,0.1,0.9,,,,,,,,,
longterm,esn,datarate,174.293419,0.165797949,0.032359838,20,1,,,,,,200,0.2,0.1,,,,,,,,,
longterm,esn,datarate,171.7533095,0.195998192,0.03294301,20,1,,,,,,200,0.2,0.3,,,,,,,,,
longterm,esn,datarate,141.5022954,0.151831865,0.039264202,20,1,,,,,,200,0.2,0.5,,,,,,,,,
longterm,esn,datarate,138.4822419,0.217263937,0.033876181,20,1,,,,,,200,0.2,0.7,,,,,,,,,
longterm,esn,datarate,141.7924243,0.14842391,0.032382965,20,1,,,,,,200,0.2,0.9,,,,,,,,,
longterm,esn,datarate,235.176334,0.216696024,0.032686949,20,1,,,,,,200,0.3,0.1,,,,,,,,,
longterm,esn,datarate,151.273523,0.194896936,0.032530069,20,1,,,,,,200,0.3,0.3,,,,,,,,,
longterm,esn,datarate,157.9402236,0.147218943,0.032966137,20,1,,,,,,200,0.3,0.5,,,,,,,,,
longterm,esn,datarate,140.4085399,0.179548979,0.032678843,20,1,,,,,,200,0.3,0.7,,,,,,,,,
longterm,esn,datarate,150.0396463,0.163167,0.032211065,20,1,,,,,,200,0.3,0.9,,,,,,,,,
longterm,esn,datarate,187.2196838,0.170053959,0.032646894,20,1,,,,,,200,0.5,0.1,,,,,,,,,
longterm,esn,datarate,141.2588246,0.173178911,0.032939196,20,1,,,,,,200,0.5,0.3,,,,,,,,,
longterm,esn,datarate,142.6154702,0.237195969,0.032450914,20,1,,,,,,200,0.5,0.5,,,,,,,,,
longterm,esn,datarate,149.3395188,0.169543028,0.032518864,20,1,,,,,,200,0.5,0.7,,,,,,,,,
longterm,esn,datarate,139.5563008,0.143872976,0.034070969,20,1,,,,,,200,0.5,0.9,,,,,,,,,
longterm,esn,datarate,250.5534233,0.277246952,0.05359602,20,1,,,,,,200,0.8,0.1,,,,,,,,,
longterm,esn,datarate,151.4098508,0.203292847,0.033016205,20,1,,,,,,200,0.8,0.3,,,,,,,,,
longterm,esn,datarate,150.3976096,0.167329073,0.032885075,20,1,,,,,,200,0.8,0.5,,,,,,,,,
longterm,esn,datarate,133.309868,0.184143066,0.033989906,20,1,,,,,,200,0.8,0.7,,,,,,,,,
longterm,esn,datarate,132.6077254,0.269695044,0.032414913,20,1,,,,,,200,0.8,0.9,,,,,,,,,
longterm,esn,datarate,270.1700283,0.357459068,0.068542004,20,1,,,,,,400,0.1,0.1,,,,,,,,,
longterm,esn,datarate,214.1198735,0.294254065,0.053274155,20,1,,,,,,400,0.1,0.3,,,,,,,,,
longterm,esn,datarate,169.4903956,0.235780001,0.052672863,20,1,,,,,,400,0.1,0.5,,,,,,,,,
longterm,esn,datarate,176.2116723,0.493087053,0.053263903,20,1,,,,,,400,0.1,0.7,,,,,,,,,
longterm,esn,datarate,161.0329262,0.332198143,0.05282402,20,1,,,,,,400,0.1,0.9,,,,,,,,,
longterm,esn,datarate,257.4946016,0.300601959,0.053857088,20,1,,,,,,400,0.2,0.1,,,,,,,,,
longterm,esn,datarate,176.1241885,0.35281992,0.053066969,20,1,,,,,,400,0.2,0.3,,,,,,,,,
longterm,esn,datarate,174.4392078,0.253730059,0.051673889,20,1,,,,,,400,0.2,0.5,,,,,,,,,
longterm,esn,datarate,165.869252,0.337765932,0.052710056,20,1,,,,,,400,0.2,0.7,,,,,,,,,
longterm,esn,datarate,168.9094969,0.298245907,0.052627802,20,1,,,,,,400,0.2,0.9,,,,,,,,,
longterm,esn,datarate,280.9086045,0.327549934,0.053098202,20,1,,,,,,400,0.3,0.1,,,,,,,,,
longterm,esn,datarate,176.1393018,0.30244112,0.053135872,20,1,,,,,,400,0.3,0.3,,,,,,,,,
longterm,esn,datarate,165.647131,0.299221039,0.051928043,20,1,,,,,,400,0.3,0.5,,,,,,,,,
longterm,esn,datarate,177.280636,0.253929853,0.053042173,20,1,,,,,,400,0.3,0.7,,,,,,,,,
longterm,esn,datarate,162.4991986,0.238399982,0.059485197,20,1,,,,,,400,0.3,0.9,,,,,,,,,
longterm,esn,datarate,284.0522643,0.259252071,0.051607132,20,1,,,,,,400,0.5,0.1,,,,,,,,,
longterm,esn,datarate,210.8186916,0.347540855,0.054548979,20,1,,,,,,400,0.5,0.3,,,,,,,,,
longterm,esn,datarate,174.8641359,0.316544056,0.053081036,20,1,,,,,,400,0.5,0.5,,,,,,,,,
longterm,esn,datarate,163.0289527,0.345654011,0.053050995,20,1,,,,,,400,0.5,0.7,,,,,,,,,
longterm,esn,datarate,157.9418385,0.296473026,0.052725077,20,1,,,,,,400,0.5,0.9,,,,,,,,,
longterm,esn,datarate,257.6417527,0.2925179,0.054692984,20,1,,,,,,400,0.8,0.1,,,,,,,,,
longterm,esn,datarate,186.4401436,0.388199091,0.084063053,20,1,,,,,,400,0.8,0.3,,,,,,,,,
longterm,esn,datarate,173.5243368,0.292847157,0.05466795,20,1,,,,,,400,0.8,0.5,,,,,,,,,
longterm,esn,datarate,154.9735669,0.306780815,0.05467391,20,1,,,,,,400,0.8,0.7,,,,,,,,,
longterm,esn,datarate,152.0192546,0.477447987,0.053008795,20,1,,,,,,400,0.8,0.9,,,,,,,,,
longterm,esn,datarate,523.543188,0.697664022,0.085673094,20,1,,,,,,600,0.1,0.1,,,,,,,,,
longterm,esn,datarate,312.0912263,0.510314941,0.085004091,20,1,,,,,,600,0.1,0.3,,,,,,,,,
longterm,esn,datarate,254.9014648,0.584480047,0.081938028,20,1,,,,,,600,0.1,0.5,,,,,,,,,
longterm,esn,datarate,257.9308601,0.582398891,0.100332022,20,1,,,,,,600,0.1,0.7,,,,,,,,,
longterm,esn,datarate,234.5158821,0.508213997,0.081940889,20,1,,,,,,600,0.1,0.9,,,,,,,,,
longterm,esn,datarate,384.9300471,0.474694967,0.081841946,20,1,,,,,,600,0.2,0.1,,,,,,,,,
longterm,esn,datarate,263.3956897,0.465514183,0.080979109,20,1,,,,,,600,0.2,0.3,,,,,,,,,
longterm,esn,datarate,248.833824,0.376281023,0.081324816,20,1,,,,,,600,0.2,0.5,,,,,,,,,
longterm,esn,datarate,243.5525376,0.671487093,0.08199811,20,1,,,,,,600,0.2,0.7,,,,,,,,,
longterm,esn,datarate,200.7985032,0.610728025,0.081050873,20,1,,,,,,600,0.2,0.9,,,,,,,,,
longterm,esn,datarate,351.9790096,0.461834908,0.130806208,20,1,,,,,,600,0.3,0.1,,,,,,,,,
longterm,esn,datarate,231.3774657,0.51096797,0.081151962,20,1,,,,,,600,0.3,0.3,,,,,,,,,
longterm,esn,datarate,261.7169052,0.461852074,0.081856012,20,1,,,,,,600,0.3,0.5,,,,,,,,,
longterm,esn,datarate,217.6808835,0.471187115,0.078465939,20,1,,,,,,600,0.3,0.7,,,,,,,,,
longterm,esn,datarate,206.3285802,0.411375046,0.082169056,20,1,,,,,,600,0.3,0.9,,,,,,,,,
longterm,esn,datarate,474.3567362,0.649099112,0.081750154,20,1,,,,,,600,0.5,0.1,,,,,,,,,
longterm,esn,datarate,239.3645357,0.493463993,0.081233978,20,1,,,,,,600,0.5,0.3,,,,,,,,,
longterm,esn,datarate,250.6193379,0.509155035,0.078994036,20,1,,,,,,600,0.5,0.5,,,,,,,,,
longterm,esn,datarate,214.7752198,0.462113142,0.085772991,20,1,,,,,,600,0.5,0.7,,,,,,,,,
longterm,esn,datarate,194.9812165,0.544093847,0.085551977,20,1,,,,,,600,0.5,0.9,,,,,,,,,
longterm,esn,datarate,342.1016193,0.464578152,0.08527112,20,1,,,,,,600,0.8,0.1,,,,,,,,,
longterm,esn,datarate,254.9696571,0.67373085,0.077242851,20,1,,,,,,600,0.8,0.3,,,,,,,,,
longterm,esn,datarate,219.3508991,0.517348051,0.082293034,20,1,,,,,,600,0.8,0.5,,,,,,,,,
longterm,esn,datarate,192.6053617,0.569715977,0.124064922,20,1,,,,,,600,0.8,0.7,,,,,,,,,
