rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
9736856.67081778,0.7069469003116383,0.00341798557954676,"(0, 0, 2)","(2, 0, 1, 0)",ct
1266411.9670784166,0.22448368353002213,0.003430517982034122,"(0, 0, 2)","(2, 0, 2, 0)",ct
1065125.2755174362,0.004069322698256548,0.0021120912888470816,"(0, 1, 0)","(0, 0, 0, 0)",n
1063399.334393858,0.012278671825633329,0.002334883633781882,"(0, 1, 0)","(0, 0, 1, 0)",n
1071296.747943648,0.017481035344740922,0.0022171974182128907,"(0, 1, 0)","(0, 0, 2, 0)",n
1061865.05906633,0.0053182209239286534,0.0021254511440501494,"(0, 1, 0)","(1, 0, 0, 0)",n
1065031.379221813,0.028543494729434744,0.002269503649543313,"(0, 1, 0)","(1, 0, 1, 0)",n
1072543.6935927551,0.03517666704514447,0.0021851174971636604,"(0, 1, 0)","(1, 0, 2, 0)",n
1071003.0228505123,0.0062991591060862825,0.002150252286125632,"(0, 1, 0)","(2, 0, 0, 0)",n
1071892.6473127862,0.028386472253238454,0.0022447417764102713,"(0, 1, 0)","(2, 0, 1, 0)",n
1068444.4714546711,0.08057300062740551,0.0023927856894100413,"(0, 1, 0)","(2, 0, 2, 0)",n
1066559.8679705143,0.006976671779856962,0.0031274991876938762,"(0, 1, 0)","(0, 0, 0, 0)",c
1064753.7999812793,0.0214572738198673,0.0032705138711368337,"(0, 1, 0)","(0, 0, 1, 0)",c
1072550.4346281085,0.032892981697531305,0.003376612943761489,"(0, 1, 0)","(0, 0, 2, 0)",c
1063120.5052056185,0.013792929929845474,0.003164984198177562,"(0, 1, 0)","(1, 0, 0, 0)",c
1066811.6038003718,0.055602525262271656,0.0033251397749956917,"(0, 1, 0)","(1, 0, 1, 0)",c
1073654.1009674252,0.0680508669684915,0.003350701051599839,"(0, 1, 0)","(1, 0, 2, 0)",c
1072054.7800667554,0.01833339017980239,0.0032684466418098,"(0, 1, 0)","(2, 0, 0, 0)",c
