rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
18642583.714953132,35.2238609790802,9.433725118637085,20,1,64,3,50,30,96
18735744.766755514,29.317790031433105,9.338419914245605,20,1,64,3,50,50,96
18771495.296578478,26.400947093963623,9.453689813613892,20,1,64,5,10,10,96
18658763.410521932,22.031988859176636,9.475723028182983,20,1,64,5,10,20,96
19166515.27051739,20.351351976394653,9.698093891143799,20,1,64,5,10,30,96
19331779.21634557,19.35669207572937,9.491966962814331,20,1,64,5,10,50,96
20056198.84701807,36.328373193740845,9.60381817817688,20,1,64,5,20,10,96
18760981.563479386,27.52333688735962,9.61934208869934,20,1,64,5,20,20,96
19083552.344605826,24.401371955871582,9.62588906288147,20,1,64,5,20,30,96
19394018.483674288,22.386417865753174,9.874696969985962,20,1,64,5,20,50,96
19833383.034201343,66.76841807365417,9.657963037490845,20,1,64,5,50,10,96
19190272.142759506,43.94404602050781,9.766986846923828,20,1,64,5,50,20,96
18667436.337190803,36.22111105918884,9.950435161590576,20,1,64,5,50,30,96
18375275.6318517,30.580726861953735,9.921413898468018,20,1,64,5,50,50,96
18793381.819790293,29.061420917510986,9.964323997497559,50,1,64,3,10,10,96
17980217.051821426,24.299495935440063,10.040322065353394,50,1,64,3,10,20,96
18204245.29978567,22.808698892593384,10.089245080947876,50,1,64,3,10,30,96
18828706.10556726,23.57948088645935,10.531280994415283,50,1,64,3,10,50,96
17620622.631699,42.06347298622131,10.701762914657593,50,1,64,3,20,10,96
17661658.939416416,32.60914707183838,10.486393928527832,50,1,64,3,20,20,96
17713349.739068158,29.734028816223145,10.71374797821045,50,1,64,3,20,30,96
17956588.992568657,25.8132541179657,10.562376022338867,50,1,64,3,20,50,96
18226571.817185115,97.93140506744385,14.094475984573364,50,1,64,3,50,10,96
18011526.68363492,70.23148012161255,11.095092058181763,50,1,64,3,50,20,96
18038350.908628862,48.91378092765808,11.23266887664795,50,1,64,3,50,30,96
18041283.24546913,38.73233199119568,11.221312046051025,50,1,64,3,50,50,96
18996346.889735576,32.17649292945862,11.179682970046997,50,1,64,5,10,10,96
18591095.80697526,26.97745704650879,11.257787942886353,50,1,64,5,10,20,96
17925414.62387012,25.588058948516846,11.2117280960083,50,1,64,5,10,30,96
18169467.194969397,23.875797986984253,11.17840313911438,50,1,64,5,10,50,96
18819552.826805085,45.22608304023743,11.158665180206299,50,1,64,5,20,10,96
18044358.427609257,35.034590005874634,11.184165954589844,50,1,64,5,20,20,96
18735250.790708497,31.288320064544678,11.327190160751343,50,1,64,5,20,30,96
18176139.50986188,28.17767310142517,11.258121013641357,50,1,64,5,20,50,96
18857220.69665703,83.69326996803284,11.323583841323853,50,1,64,5,50,10,96
18808883.809634782,57.2791850566864,11.411521911621094,50,1,64,5,50,20,96
18547615.890095767,49.25141191482544,11.445590019226074,50,1,64,5,50,30,96
18319695.13272998,39.9815559387207,11.606081008911133,50,1,64,5,50,50,96
