rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
327.4935614235583,13.64361310005188,4.699526071548462,5,1,64,3,10,10,96
327.07852842547857,10.788498163223267,4.735468149185181,5,1,64,3,10,20,96
325.7671034105915,9.946380853652954,4.855912923812866,5,1,64,3,10,30,96
328.0364762662584,9.257999897003174,4.7413458824157715,5,1,64,3,10,50,96
323.57615314929956,19.881152868270874,4.869782209396362,5,1,64,3,20,10,96
325.4284939487469,14.151216983795166,4.960226774215698,5,1,64,3,20,20,96
326.1769005851553,12.249134063720703,4.820218086242676,5,1,64,3,20,30,96
325.6956491133689,10.669692039489746,4.948738098144531,5,1,64,3,20,50,96
324.54155559573076,38.101136922836304,4.898868083953857,5,1,64,3,50,10,96
322.96225428518113,23.35271406173706,4.932157039642334,5,1,64,3,50,20,96
326.0228778018704,18.678016185760498,4.9398109912872314,5,1,64,3,50,30,96
324.94176907416636,14.705214023590088,4.979959964752197,5,1,64,3,50,50,96
178.9676053445276,14.69821810722351,5.069637060165405,10,1,64,3,10,10,96
177.1096444746929,11.755418062210083,5.073912858963013,10,1,64,3,10,20,96
181.66952275068826,10.816575050354004,5.131778001785278,10,1,64,3,10,30,96
182.53535658333945,10.069963932037354,5.1084630489349365,10,1,64,3,10,50,96
176.16807599244066,21.232672929763794,5.202629089355469,10,1,64,3,20,10,96
182.35257322563055,15.253492832183838,5.220289945602417,10,1,64,3,20,20,96
177.7739023841551,13.497294187545776,5.253805875778198,10,1,64,3,20,30,96
179.27325193009793,11.89377212524414,5.303503036499023,10,1,64,3,20,50,96
174.50863981539337,40.97842192649841,5.337502956390381,10,1,64,3,50,10,96
176.01782171770674,25.700538158416748,5.3671159744262695,10,1,64,3,50,20,96
175.59025040542744,20.801294088363647,5.353435039520264,10,1,64,3,50,30,96
176.63087390607248,16.74021601676941,5.417278051376343,10,1,64,3,50,50,96
177.92578463698655,15.641704082489014,5.437623023986816,10,1,64,5,10,10,96
178.68980026938019,12.600097179412842,5.431550025939941,10,1,64,5,10,20,96
180.5681686063078,11.604326963424683,5.480032920837402,10,1,64,5,10,30,96
183.98709448010626,10.864329099655151,5.5517590045928955,10,1,64,5,10,50,96
178.316903312339,22.6318781375885,5.535516023635864,10,1,64,5,20,10,96
178.18448527901467,16.149120807647705,5.578383207321167,10,1,64,5,20,20,96
187.5736614648808,14.248146057128906,5.68441104888916,10,1,64,5,20,30,96
177.39157573100988,12.523843050003052,5.734609127044678,10,1,64,5,20,50,96
179.5616335363899,44.01257610321045,5.909328937530518,10,1,64,5,50,10,96
174.9647879832548,27.327171087265015,6.064317941665649,10,1,64,5,50,20,96
177.54570233567398,22.79037594795227,6.0233471393585205,10,1,64,5,50,30,96
175.54389337672248,18.22985601425171,6.042328834533691,10,1,64,5,50,50,96
178.35885891875117,17.550164937973022,6.034926891326904,20,1,64,3,10,10,96
175.47255300352535,14.294291019439697,6.1881890296936035,20,1,64,3,10,20,96
177.8204709443499,13.231695175170898,6.094718933105469,20,1,64,3,10,30,96
179.75417237374035,12.233811855316162,6.151928901672363,20,1,64,3,10,50,96
179.38532822383854,25.1959331035614,6.1964311599731445,20,1,64,3,20,10,96
171.7765494203474,18.437970876693726,6.2278032302856445,20,1,64,3,20,20,96
174.68360785363026,16.293267965316772,6.223114967346191,20,1,64,3,20,30,96
172.9899665801602,14.635236024856567,6.206423997879028,20,1,64,3,20,50,96
172.62177156564556,48.48586916923523,6.334836006164551,20,1,64,3,50,10,96
171.21277126415066,31.08383798599243,6.346889019012451,20,1,64,3,50,20,96
174.28675536755836,25.36878490447998,6.315440893173218,20,1,64,3,50,30,96
170.7759900368604,20.599961042404175,6.383790016174316,20,1,64,3,50,50,96
176.09965124490583,18.483913898468018,6.282411098480225,20,1,64,5,10,10,96
174.5373302632385,14.932451009750366,6.412204027175903,20,1,64,5,10,20,96
180.97688352687015,13.89132285118103,6.410058975219727,20,1,64,5,10,30,96
178.0768843816146,12.926967859268188,6.478663921356201,20,1,64,5,10,50,96
172.74141322444729,26.452066898345947,6.521907091140747,20,1,64,5,20,10,96
176.21244792103462,19.32288098335266,6.518763065338135,20,1,64,5,20,20,96
174.77391866531693,17.229979991912842,6.446919918060303,20,1,64,5,20,30,96
175.6530768390294,15.14011001586914,6.566381931304932,20,1,64,5,20,50,96
187.399294124478,49.78135108947754,6.726942777633667,20,1,64,5,50,10,96
171.59873646950547,32.291725158691406,6.678534984588623,20,1,64,5,50,20,96
180.85139427469485,26.508168935775757,6.69631814956665,20,1,64,5,50,30,96
175.94105505067668,21.45499897003174,6.818503141403198,20,1,64,5,50,50,96
179.42244869408154,20.40663719177246,6.733510971069336,50,1,64,3,10,10,96
171.22028993125113,16.687902212142944,6.810781955718994,50,1,64,3,10,20,96
179.16706698489796,15.755470991134644,6.803527116775513,50,1,64,3,10,30,96
178.39828440449077,14.459866046905518,6.981213092803955,50,1,64,3,10,50,96
203.53041665158807,29.940657138824463,6.940725088119507,50,1,64,3,20,10,96
170.39521095153688,22.437546968460083,6.9158408641815186,50,1,64,3,20,20,96
175.13302902770752,19.93228316307068,6.912003993988037,50,1,64,3,20,30,96
174.20388181197671,17.224959135055542,6.913171052932739,50,1,64,3,20,50,96
172.37843421993028,57.37138819694519,7.005908966064453,50,1,64,3,50,10,96
177.01686300081943,38.29781889915466,7.0149619579315186,50,1,64,3,50,20,96
178.61864497011402,32.746853828430176,7.019779920578003,50,1,64,3,50,30,96
174.70604975552396,26.1525399684906,7.1478331089019775,50,1,64,3,50,50,96
177.81720443600625,21.447672843933105,7.059752941131592,50,1,64,5,10,10,96
176.56033806993688,17.67293095588684,7.095105886459351,50,1,64,5,10,20,96
176.7852957580925,16.629621028900146,7.159909963607788,50,1,64,5,10,30,96
180.7152247100552,15.270097970962524,7.184288024902344,50,1,64,5,10,50,96
174.0575072802355,30.922080993652344,7.2565929889678955,50,1,64,5,20,10,96
184.2751739920404,23.699377059936523,7.209760904312134,50,1,64,5,20,20,96
174.4321309128934,21.093109130859375,7.229398965835571,50,1,64,5,20,30,96
181.79475194804238,18.181567907333374,7.291959047317505,50,1,64,5,20,50,96
181.98425999988166,59.27992582321167,7.446055889129639,50,1,64,5,50,10,96
184.2479237765414,40.27205014228821,7.4689249992370605,50,1,64,5,50,20,96
192.67277092067312,34.13482213020325,7.437351942062378,50,1,64,5,50,30,96
173.65998456125394,27.63302993774414,7.403419017791748,50,1,64,5,50,50,96
