rmse,train_time,predict_time,n_ins,n_outs,res_sizes,n_leaking_rate,spectral_rads
25503924.61215446,0.3265049457550049,0.044190168380737305,5,1,400,0.5,0.5
20866184.907638475,0.31009411811828613,0.04551506042480469,5,1,400,0.5,0.7
26098224.311020747,0.30275607109069824,0.04510998725891113,5,1,400,0.5,0.9
57144720.42085462,0.2814340591430664,0.10425806045532227,5,1,400,0.8,0.1
24496553.391943265,0.26598501205444336,0.0464630126953125,5,1,400,0.8,0.3
18786299.76886037,0.2982339859008789,0.04740309715270996,5,1,400,0.8,0.5
17371351.88575792,0.29520702362060547,0.04661107063293457,5,1,400,0.8,0.7
16621409.974885274,0.2592179775238037,0.08166313171386719,5,1,400,0.8,0.9
522576375.1279744,0.4281041622161865,0.07541704177856445,5,1,600,0.1,0.1
59445271.13463091,0.3694629669189453,0.0632009506225586,5,1,600,0.1,0.3
124143747.09611724,0.45159482955932617,0.11575484275817871,5,1,600,0.1,0.5
118179578.65046115,0.45205020904541016,0.0674901008605957,5,1,600,0.1,0.7
102068771.17492484,0.3945960998535156,0.06296801567077637,5,1,600,0.1,0.9
94464842.98754044,0.41177988052368164,0.10550189018249512,5,1,600,0.2,0.1
164054059.60566375,0.4845008850097656,0.07694888114929199,5,1,600,0.2,0.3
119065432.76147418,0.35783815383911133,0.06602907180786133,5,1,600,0.2,0.5
112905829.39609724,0.4097630977630615,0.06676101684570312,5,1,600,0.2,0.7
237259265.64908883,0.4002401828765869,0.06802201271057129,5,1,600,0.2,0.9
111649273.6287029,0.47772693634033203,0.06667685508728027,5,1,600,0.3,0.1
71078845.98590893,0.36423611640930176,0.06679296493530273,5,1,600,0.3,0.3
126868838.20446539,0.5019350051879883,0.06674385070800781,5,1,600,0.3,0.5
33576783.46541197,0.5057151317596436,0.06662917137145996,5,1,600,0.3,0.7
32190928.234938715,0.43300485610961914,0.06568598747253418,5,1,600,0.3,0.9
397231602.86052024,0.4846220016479492,0.066925048828125,5,1,600,0.5,0.1
107521820.15826294,0.39060401916503906,0.062272071838378906,5,1,600,0.5,0.3
52398398.14378646,0.4771900177001953,0.06675386428833008,5,1,600,0.5,0.5
56439508.66450104,0.31651806831359863,0.09267401695251465,5,1,600,0.5,0.7
46651987.92199041,0.40618896484375,0.06841611862182617,5,1,600,0.5,0.9
325798682.7635827,0.5540158748626709,0.06781601905822754,5,1,600,0.8,0.1
40493847.91358777,0.37938904762268066,0.06720709800720215,5,1,600,0.8,0.3
50484240.8243588,0.5640659332275391,0.06730508804321289,5,1,600,0.8,0.5
30123352.52874145,0.4126880168914795,0.06380701065063477,5,1,600,0.8,0.7
29576566.113512013,0.49318695068359375,0.06722283363342285,5,1,600,0.8,0.9
6412089328.80805,0.9290499687194824,0.14920902252197266,5,1,1000,0.1,0.1
619313091.6764954,0.9011850357055664,0.15238308906555176,5,1,1000,0.1,0.3
1105629258.289102,0.900378942489624,0.15322494506835938,5,1,1000,0.1,0.5
1982854329.4981291,0.822580099105835,0.14801311492919922,5,1,1000,0.1,0.7
1132052592.256831,0.862170934677124,0.19275879859924316,5,1,1000,0.1,0.9
3015315940.3437037,0.8470990657806396,0.15020108222961426,5,1,1000,0.2,0.1
3470665167.792775,0.9293739795684814,0.14950919151306152,5,1,1000,0.2,0.3
368354398.8271848,0.8566122055053711,0.15025901794433594,5,1,1000,0.2,0.5
906534531.208955,0.7882909774780273,0.17075800895690918,5,1,1000,0.2,0.7
230561066.9781338,0.840421199798584,0.14200806617736816,5,1,1000,0.2,0.9
2553638408.157628,0.8645520210266113,0.20041489601135254,5,1,1000,0.3,0.1
261783719.91888884,1.0527260303497314,0.14716196060180664,5,1,1000,0.3,0.3
132625200.63498661,0.8758678436279297,0.149033784866333,5,1,1000,0.3,0.5
342897327.6854393,0.9662649631500244,0.22977089881896973,5,1,1000,0.3,0.7
368682255.5924487,0.9667160511016846,0.14907598495483398,5,1,1000,0.3,0.9
295750054.7883321,0.9575281143188477,0.1475210189819336,5,1,1000,0.5,0.1
359042747.2038647,0.8834388256072998,0.15240001678466797,5,1,1000,0.5,0.3
294268414.32029396,0.9579849243164062,0.14847803115844727,5,1,1000,0.5,0.5
237536680.16338736,0.7575550079345703,0.15020298957824707,5,1,1000,0.5,0.7
185354168.5630302,0.8348069190979004,0.14849615097045898,5,1,1000,0.5,0.9
510493466.8060817,0.9198939800262451,0.15141701698303223,5,1,1000,0.8,0.1
452173051.5198244,1.0161900520324707,0.15075302124023438,5,1,1000,0.8,0.3
131502105.81321827,0.9919130802154541,0.1516580581665039,5,1,1000,0.8,0.5
63514573.95463203,1.081298828125,0.1493690013885498,5,1,1000,0.8,0.7
45770036.553869605,0.8617649078369141,0.14804315567016602,5,1,1000,0.8,0.9
14268048.837819148,0.06691098213195801,0.01588606834411621,10,1,50,0.1,0.1
14209375.17650166,0.07981300354003906,0.01590108871459961,10,1,50,0.1,0.3
13601487.021405034,0.06725907325744629,0.01595592498779297,10,1,50,0.1,0.5
14013485.132895514,0.06759381294250488,0.015958786010742188,10,1,50,0.1,0.7
13573844.29031896,0.06753110885620117,0.01616811752319336,10,1,50,0.1,0.9
14359047.654189974,0.06720399856567383,0.015877962112426758,10,1,50,0.2,0.1
13835265.18280207,0.06742405891418457,0.01610589027404785,10,1,50,0.2,0.3
13888666.43340333,0.0733480453491211,0.019498109817504883,10,1,50,0.2,0.5
