Total configs: 72
shortterm
datarates
('dataset_len = ', 385)
starting lstm grid search
config, rmse, t_time, p_time
([5, 1, 50, 10, 10, 96], 13.273694213134107, 1.5360140800476074, 0.11712002754211426)
([5, 1, 50, 10, 20, 96], 12.856554120853191, 1.304387092590332, 0.1544499397277832)
([5, 1, 50, 10, 30, 96], 13.576705582297143, 1.4252910614013672, 0.19906091690063477)
([5, 1, 50, 10, 50, 96], 14.35551017367007, 1.4662940502166748, 0.24980783462524414)
([5, 1, 50, 20, 10, 96], 12.994665815502529, 2.378965139389038, 0.2984299659729004)
([5, 1, 50, 20, 20, 96], 12.904939210077364, 2.1309030055999756, 0.35143399238586426)
([5, 1, 50, 20, 30, 96], 12.951241090038035, 1.9846320152282715, 0.4097869396209717)
([5, 1, 50, 20, 50, 96], 12.979093362672671, 2.1318840980529785, 0.4615330696105957)
([5, 1, 50, 50, 10, 96], 16.42815238410102, 4.411447048187256, 0.5145869255065918)
([5, 1, 50, 50, 20, 96], 14.29621472701862, 3.480862855911255, 0.5742669105529785)
([5, 1, 50, 50, 30, 96], 14.237499339241289, 3.0615129470825195, 0.6344618797302246)
([5, 1, 50, 50, 50, 96], 13.240762638188745, 2.8062620162963867, 0.6810321807861328)
([5, 1, 100, 10, 10, 96], 12.92277728131406, 2.9543709754943848, 0.736083984375)
([5, 1, 100, 10, 20, 96], 13.046869282567103, 2.8629279136657715, 0.7953858375549316)
([5, 1, 100, 10, 30, 96], 13.100350564120737, 2.868990898132324, 0.8557109832763672)
([5, 1, 100, 10, 50, 96], 13.585155368312412, 2.9200479984283447, 0.9455831050872803)
([5, 1, 100, 20, 10, 96], 13.03104840973402, 4.3963539600372314, 0.9807760715484619)
([5, 1, 100, 20, 20, 96], 13.080903013097837, 3.6581549644470215, 1.0373690128326416)
([5, 1, 100, 20, 30, 96], 12.717564486327833, 3.6284360885620117, 1.0856239795684814)
([5, 1, 100, 20, 50, 96], 12.959607256295325, 3.60770583152771, 1.1559219360351562)
([5, 1, 100, 50, 10, 96], 15.6803774275066, 6.386775970458984, 1.2069671154022217)
([5, 1, 100, 50, 20, 96], 15.940084982037492, 5.581301212310791, 1.282593011856079)
([5, 1, 100, 50, 30, 96], 15.717163271657684, 4.916698932647705, 1.349545955657959)
([5, 1, 100, 50, 50, 96], 13.926783138521564, 4.598523855209351, 1.3911640644073486)
([10, 1, 50, 10, 10, 96], 13.415165662101957, 4.9655210971832275, 1.4960839748382568)
([10, 1, 50, 10, 20, 96], 13.787426274969729, 4.61058497428894, 1.5524780750274658)
([10, 1, 50, 10, 30, 96], 13.360653469196638, 4.620348930358887, 1.610671043395996)
([10, 1, 50, 10, 50, 96], 14.100030369657482, 5.1596360206604, 1.696608066558838)
([10, 1, 50, 20, 10, 96], 15.806206115098583, 6.372385025024414, 1.778925895690918)
([10, 1, 50, 20, 20, 96], 16.19302044880105, 5.708370208740234, 1.8058409690856934)
([10, 1, 50, 20, 30, 96], 15.481595539085378, 5.544081926345825, 1.883056879043579)
([10, 1, 50, 20, 50, 96], 14.67684478975645, 5.478272914886475, 1.9270408153533936)
([10, 1, 50, 50, 10, 96], 16.421233228893012, 9.703579902648926, 2.013805866241455)
([10, 1, 50, 50, 20, 96], 17.480489401907814, 7.613209962844849, 2.0601468086242676)
([10, 1, 50, 50, 30, 96], 15.88567427600544, 7.71820592880249, 2.1622610092163086)
([10, 1, 50, 50, 50, 96], 17.928551205734696, 6.660354137420654, 2.2486300468444824)
([10, 1, 100, 10, 10, 96], 13.4007229275672, 6.926370859146118, 2.2897729873657227)
([10, 1, 100, 10, 20, 96], 13.829717759816196, 6.576533079147339, 2.3702170848846436)
([10, 1, 100, 10, 30, 96], 13.951913192781316, 6.562925100326538, 2.4145400524139404)
([10, 1, 100, 10, 50, 96], 13.377836959925162, 6.560506105422974, 2.5111851692199707)
([10, 1, 100, 20, 10, 96], 15.547535625501341, 8.438261985778809, 2.5721311569213867)
([10, 1, 100, 20, 20, 96], 15.088521514116024, 7.660814046859741, 2.6561291217803955)
([10, 1, 100, 20, 30, 96], 18.27354837892906, 7.6078410148620605, 2.781665086746216)
([10, 1, 100, 20, 50, 96], 16.737276692665578, 8.388415098190308, 2.8704590797424316)
([10, 1, 100, 50, 10, 96], 17.367267783039107, 12.297273874282837, 2.939499855041504)
([10, 1, 100, 50, 20, 96], 17.955063726099286, 10.124412059783936, 2.986762046813965)
([10, 1, 100, 50, 30, 96], 17.66220675720997, 9.466052055358887, 3.060570001602173)
([10, 1, 100, 50, 50, 96], 18.453619533668633, 9.115596771240234, 3.1050000190734863)
([20, 1, 50, 10, 10, 96], 14.721593392198438, 9.395934104919434, 3.2533140182495117)
([20, 1, 50, 10, 20, 96], 15.170067132193228, 8.923918962478638, 3.2973110675811768)
([20, 1, 50, 10, 30, 96], 14.757009913348059, 8.86022400856018, 3.431027889251709)
([20, 1, 50, 10, 50, 96], 18.973901929238608, 8.847717046737671, 3.4690451622009277)
([20, 1, 50, 20, 10, 96], 13.624271566547419, 11.636041164398193, 3.560445785522461)
([20, 1, 50, 20, 20, 96], 16.386454915411306, 10.520979881286621, 3.639626979827881)
([20, 1, 50, 20, 30, 96], 13.996114031058081, 10.172688007354736, 3.767132043838501)
([20, 1, 50, 20, 50, 96], 13.204376426439463, 11.105874061584473, 3.8591418266296387)
([20, 1, 50, 50, 10, 96], 27.00124493851848, 16.972968101501465, 3.9628379344940186)
([20, 1, 50, 50, 20, 96], 16.742365109089697, 13.797259092330933, 3.9888930320739746)
