rmse,train_time,predict_time,n_ins,n_outs,res_sizes,n_leaking_rate,spectral_rads
458.19935971867915,0.31543803215026855,0.04809093475341797,5,1,400,0.5,0.9
1151.4568562387,0.2139739990234375,0.05040693283081055,5,1,400,0.8,0.1
450.19454838062575,0.25884199142456055,0.04839301109313965,5,1,400,0.8,0.3
361.1860190674401,0.2864518165588379,0.0492548942565918,5,1,400,0.8,0.5
283.4640440877073,0.3715808391571045,0.04882383346557617,5,1,400,0.8,0.7
266.5746427652463,0.23267507553100586,0.04928398132324219,5,1,400,0.8,0.9
21889.011005464177,0.44768214225769043,0.11495685577392578,5,1,600,0.1,0.1
5253.890354135093,0.34387707710266113,0.09811711311340332,5,1,600,0.1,0.3
2946.9388582405,0.44257593154907227,0.12641620635986328,5,1,600,0.1,0.5
3037.7517352563996,0.4594230651855469,0.07103109359741211,5,1,600,0.1,0.7
2277.862481475486,0.38365817070007324,0.06975388526916504,5,1,600,0.1,0.9
4195.546265769943,0.4486539363861084,0.06984090805053711,5,1,600,0.2,0.1
2450.8940794658133,0.4095189571380615,0.07069706916809082,5,1,600,0.2,0.3
1608.1602342025972,0.37143898010253906,0.07067680358886719,5,1,600,0.2,0.5
1992.6425407349877,0.43688488006591797,0.07008099555969238,5,1,600,0.2,0.7
1646.3787272759332,0.38821911811828613,0.07015013694763184,5,1,600,0.2,0.9
3355.6644676877954,0.3808879852294922,0.11420702934265137,5,1,600,0.3,0.1
2319.439249406496,0.4461040496826172,0.07364010810852051,5,1,600,0.3,0.3
1770.507877571603,0.38191914558410645,0.07379984855651855,5,1,600,0.3,0.5
2521.408547000944,0.43961381912231445,0.07392597198486328,5,1,600,0.3,0.7
1969.315144437899,0.3833141326904297,0.07428097724914551,5,1,600,0.3,0.9
2823.164887908336,0.5733349323272705,0.07381701469421387,5,1,600,0.5,0.1
1864.674577923147,0.5278069972991943,0.07030606269836426,5,1,600,0.5,0.3
1277.5515511951915,0.5928540229797363,0.070281982421875,5,1,600,0.5,0.5
1027.6363615644789,0.5032460689544678,0.07098603248596191,5,1,600,0.5,0.7
1358.7121350066427,0.41284704208374023,0.07100510597229004,5,1,600,0.5,0.9
5205.688979862439,0.47329115867614746,0.07053899765014648,5,1,600,0.8,0.1
994.4411412002495,0.4192478656768799,0.07262301445007324,5,1,600,0.8,0.3
543.6959972354596,0.49671101570129395,0.0713341236114502,5,1,600,0.8,0.5
555.2161255488722,0.49683499336242676,0.1291048526763916,5,1,600,0.8,0.7
257.6305001035483,0.48803091049194336,0.07145404815673828,5,1,600,0.8,0.9
206722.78161307162,0.9827568531036377,0.25821995735168457,5,1,1000,0.1,0.1
108105.76521334668,1.0612099170684814,0.15857195854187012,5,1,1000,0.1,0.3
734150.1694585908,0.9393391609191895,0.15976309776306152,5,1,1000,0.1,0.5
249076.52715298563,0.9680328369140625,0.16228914260864258,5,1,1000,0.1,0.7
8136199.294864789,1.1019399166107178,0.16204094886779785,5,1,1000,0.1,0.9
86099.86783551596,0.8785099983215332,0.15915298461914062,5,1,1000,0.2,0.1
11806.178013434754,0.8768510818481445,0.259749174118042,5,1,1000,0.2,0.3
10549.285489225631,1.1223680973052979,0.1631760597229004,5,1,1000,0.2,0.5
9234.625281007426,0.8644399642944336,0.16405701637268066,5,1,1000,0.2,0.7
8383.28052646889,0.9683358669281006,0.15700101852416992,5,1,1000,0.2,0.9
55659.87688615847,1.0649280548095703,0.15900301933288574,5,1,1000,0.3,0.1
5190.027836171794,0.8691110610961914,0.1591031551361084,5,1,1000,0.3,0.3
7897.742377870458,1.0036790370941162,0.15716195106506348,5,1,1000,0.3,0.5
7798.521500720076,0.9970660209655762,0.1680288314819336,5,1,1000,0.3,0.7
5425.31506502505,1.058345079421997,0.196519136428833,5,1,1000,0.3,0.9
13120.707843805538,0.8237018585205078,0.2174220085144043,5,1,1000,0.5,0.1
5132.06318429153,1.0789449214935303,0.15883207321166992,5,1,1000,0.5,0.3
