rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
24247581.46332699,1.6353488149450626,0.01627336985134428,"(0, 0, 1)","(2, 0, 0, 0)",t
21383026.888571855,2.2468268973123138,0.017144031230523774,"(0, 0, 1)","(2, 0, 1, 0)",t
21179131.856007878,2.594308047390776,0.01744789952767984,"(0, 0, 1)","(2, 0, 2, 0)",t
22320009.682057712,0.4390901758436065,0.028317959707402675,"(0, 0, 1)","(0, 0, 0, 0)",ct
20830736.323783055,0.5251798618447879,0.02962200780214647,"(0, 0, 1)","(0, 0, 1, 0)",ct
19994667.05066859,1.0618339311751324,0.030027434494995987,"(0, 0, 1)","(0, 0, 2, 0)",ct
25911213.80401841,0.4734090870668314,0.028312067968565374,"(0, 0, 1)","(1, 0, 0, 0)",ct
23013911.751689754,0.7920067236799645,0.029643898756902837,"(0, 0, 1)","(1, 0, 1, 0)",ct
21157407.48674278,1.1908454702700868,0.029997521872198032,"(0, 0, 1)","(1, 0, 2, 0)",ct
23797835.246327292,2.1389385528270317,0.028367046783827378,"(0, 0, 1)","(2, 0, 0, 0)",ct
21087073.865006387,2.632370471671524,0.029676670988542188,"(0, 0, 1)","(2, 0, 1, 0)",ct
20912569.876600858,3.0715648932813324,0.03006132754849652,"(0, 0, 1)","(2, 0, 2, 0)",ct
39494385.42473691,0.28032429192838293,0.013864955019696328,"(0, 0, 2)","(0, 0, 0, 0)",n
34621314.14897722,0.4396335026547578,0.015318205065291688,"(0, 0, 2)","(0, 0, 1, 0)",n
32879756.52605016,0.4092091937082094,0.01648380634764901,"(0, 0, 2)","(0, 0, 2, 0)",n
17463973.683370396,0.39445753453889354,0.011691891001636872,"(0, 0, 2)","(1, 0, 0, 0)",n
17457413.28148202,0.4540454611659474,0.011823899098279779,"(0, 0, 2)","(1, 0, 1, 0)",n
17474641.038905483,0.6302713312712428,0.01231190176903848,"(0, 0, 2)","(1, 0, 2, 0)",n
17463884.893390946,0.6792871468432009,0.011745419225093168,"(0, 0, 2)","(2, 0, 0, 0)",n
17470777.862094704,0.5940551777610009,0.012133369807812384,"(0, 0, 2)","(2, 0, 1, 0)",n
17459814.023511138,0.6131591412237672,0.013341927160713314,"(0, 0, 2)","(2, 0, 2, 0)",n
23030635.229362685,0.36169267040130504,0.01713658397308024,"(0, 0, 2)","(0, 0, 0, 0)",c
22753843.274693012,0.8716651066907926,0.017489024045769994,"(0, 0, 2)","(0, 0, 1, 0)",c
19410098.960492723,1.4205273855057758,0.019411183195464834,"(0, 0, 2)","(0, 0, 2, 0)",c
19774945.00547312,0.46345613690033505,0.01716375492362931,"(0, 0, 2)","(1, 0, 0, 0)",c
19499869.829633426,1.1166747331902085,0.0175183382181369,"(0, 0, 2)","(1, 0, 1, 0)",c
18290060.653227042,1.3812490029974198,0.019425940541892995,"(0, 0, 2)","(1, 0, 2, 0)",c
17974113.25974342,1.9315581446157797,0.01719259254165957,"(0, 0, 2)","(2, 0, 0, 0)",c
19348947.372589078,2.269663343791577,0.017527134251622827,"(0, 0, 2)","(2, 0, 1, 0)",c
18928908.107216403,3.3897198869947296,0.01943711171087987,"(0, 0, 2)","(2, 0, 2, 0)",c
20606441.02576222,0.3296816733666869,0.017133045592483395,"(0, 0, 2)","(0, 0, 0, 0)",t
20204063.028516266,0.7312673557978366,0.0175031235492385,"(0, 0, 2)","(0, 0, 1, 0)",t
18354054.57163146,1.176586787188746,0.019225590593874242,"(0, 0, 2)","(0, 0, 2, 0)",t
22248293.71016373,0.5449694928183957,0.017075928080548596,"(0, 0, 2)","(1, 0, 0, 0)",t
21423365.712929204,1.07811301854723,0.018146942235962492,"(0, 0, 2)","(1, 0, 1, 0)",t
18679951.244418476,1.3931635684672907,0.01937129121375395,"(0, 0, 2)","(1, 0, 2, 0)",t
21384317.31659124,2.1014431722082136,0.017089520767773033,"(0, 0, 2)","(2, 0, 0, 0)",t
21164890.530410875,2.985869619769982,0.017983492583142482,"(0, 0, 2)","(2, 0, 1, 0)",t
19568820.907784645,4.096870448100043,0.019238021732932167,"(0, 0, 2)","(2, 0, 2, 0)",t
20316187.625046093,0.4170223111076853,0.029619118497040773,"(0, 0, 2)","(0, 0, 0, 0)",ct
19994404.19534412,0.8840370794773668,0.029892524366276967,"(0, 0, 2)","(0, 0, 1, 0)",ct
18216882.971920148,1.393420981342682,0.03265503971602145,"(0, 0, 2)","(0, 0, 2, 0)",ct
21895520.766499054,0.6709053309928197,0.029579497175567373,"(0, 0, 2)","(1, 0, 0, 0)",ct
21153446.19244662,1.2740384511393301,0.031097975772753587,"(0, 0, 2)","(1, 0, 1, 0)",ct
18526907.724254604,1.6272823536240475,0.032471301858252616,"(0, 0, 2)","(1, 0, 2, 0)",ct
21080162.94168329,2.4916007976939247,0.029624608346434534,"(0, 0, 2)","(2, 0, 0, 0)",ct
20893784.93743939,3.5253289916761403,0.031073901718338754,"(0, 0, 2)","(2, 0, 1, 0)",ct
19419700.05190893,4.699256680614159,0.03273237755572951,"(0, 0, 2)","(2, 0, 2, 0)",ct
19346832.32247117,0.02827234567979335,0.011313950322559578,"(0, 1, 0)","(0, 0, 0, 0)",n
19324415.771985974,0.12038808474195668,0.0125751215367979,"(0, 1, 0)","(0, 0, 1, 0)",n
17458483.67735955,0.2669090155604895,0.014267515881630026,"(0, 1, 0)","(0, 0, 2, 0)",n
20079695.74099589,0.03919402334048089,0.012017612921102757,"(0, 1, 0)","(1, 0, 0, 0)",n
17486865.375400066,0.20805191088684372,0.012559724730811793,"(0, 1, 0)","(1, 0, 1, 0)",n
17459037.591143813,0.45170029032697034,0.012458445197181204,"(0, 1, 0)","(1, 0, 2, 0)",n
19428649.62370702,0.05035634170930439,0.012557123620880597,"(0, 1, 0)","(2, 0, 0, 0)",n
17450269.433786184,0.2984223538304846,0.012477724294786918,"(0, 1, 0)","(2, 0, 1, 0)",n
18194542.720655914,2.02232514694775,0.014017233786351033,"(0, 1, 0)","(2, 0, 2, 0)",n
19349197.449141175,0.05702008867320358,0.016284224543000173,"(0, 1, 0)","(0, 0, 0, 0)",c
19322977.71513869,0.27191775153398795,0.017184307001098055,"(0, 1, 0)","(0, 0, 1, 0)",c
17456912.138625886,0.4177582436467688,0.017532670766574773,"(0, 1, 0)","(0, 0, 2, 0)",c
20081235.856018506,0.07058141494560921,0.016353600107195256,"(0, 1, 0)","(1, 0, 0, 0)",c
17487350.87515548,0.4567161378487149,0.017202666362975134,"(0, 1, 0)","(1, 0, 1, 0)",c
17452471.511926584,0.9696449006013882,0.017579516764920235,"(0, 1, 0)","(1, 0, 2, 0)",c
19429639.103963815,0.0940981423161915,0.017193340321876825,"(0, 1, 0)","(2, 0, 0, 0)",c
17450615.28486992,0.6263215773753282,0.017223460252881757,"(0, 1, 0)","(2, 0, 1, 0)",c
17680905.14846322,3.0639437260294016,0.017584293903970774,"(0, 1, 0)","(2, 0, 2, 0)",c
19354034.158314608,0.05701604856715083,0.016344893445323794,"(0, 1, 0)","(0, 0, 0, 0)",t
19320833.885595903,0.2712660701249418,0.017213859592044058,"(0, 1, 0)","(0, 0, 1, 0)",t
17455545.688258264,0.41806761989389873,0.01748089377424754,"(0, 1, 0)","(0, 0, 2, 0)",t
20084450.110092927,0.07060851207972987,0.016290061980097036,"(0, 1, 0)","(1, 0, 0, 0)",t
