rmse,train_time,predict_time,n_ins,n_outs,res_sizes,n_leaking_rate,spectral_rads
35.92005918812133,0.012484073638916016,0.0016770362854003906,5,1,50,0.1,0.1
18.67052503864685,0.006230831146240234,0.0016682147979736328,5,1,50,0.1,0.3
18.39977792009795,0.02657794952392578,0.0016579627990722656,5,1,50,0.1,0.5
9.595693871561378,0.006264925003051758,0.0016560554504394531,5,1,50,0.1,0.7
10.405951182441632,0.006315946578979492,0.001667022705078125,5,1,50,0.1,0.9
14.063946178636336,0.026361942291259766,0.0016720294952392578,5,1,50,0.2,0.1
17.27588522889303,0.006260871887207031,0.001653909683227539,5,1,50,0.2,0.3
10.748255626056862,0.02601313591003418,0.0016589164733886719,5,1,50,0.2,0.5
10.032488697578012,0.0063228607177734375,0.0016520023345947266,5,1,50,0.2,0.7
9.655079523671102,0.006146907806396484,0.00164794921875,5,1,50,0.2,0.9
46.82685505330512,0.0062351226806640625,0.0016460418701171875,5,1,50,0.3,0.1
15.555704272623828,0.006431102752685547,0.001641988754272461,5,1,50,0.3,0.3
23.402681021769524,0.006320953369140625,0.0016639232635498047,5,1,50,0.3,0.5
10.906399992510602,0.0062520503997802734,0.0016598701477050781,5,1,50,0.3,0.7
13.030368181160588,0.006181001663208008,0.001661062240600586,5,1,50,0.3,0.9
23.769528632890676,0.00621795654296875,0.0016481876373291016,5,1,50,0.5,0.1
13.888933503410993,0.02707815170288086,0.0016548633575439453,5,1,50,0.5,0.3
11.052714653737299,0.0063130855560302734,0.0016598701477050781,5,1,50,0.5,0.5
14.37358241739468,0.007061004638671875,0.0016620159149169922,5,1,50,0.5,0.7
9.119677545363135,0.025867938995361328,0.00164794921875,5,1,50,0.5,0.9
35.326444936004016,0.006367921829223633,0.0016531944274902344,5,1,50,0.8,0.1
13.928634738036093,0.03014397621154785,0.001653909683227539,5,1,50,0.8,0.3
10.631416015809238,0.006341218948364258,0.0016620159149169922,5,1,50,0.8,0.5
9.46267401032946,0.006227970123291016,0.0016620159149169922,5,1,50,0.8,0.7
