Total configs: 450
shortterm
datarates
('dataset_len = ', 385)
starting esn grid search
config, rmse, t_time, p_time
([5, 1, 50, 0.1, 0.1], 49.93953505923392, 0.005076885223388672, 0.001638174057006836)
([5, 1, 50, 0.1, 0.3], 17.17203357558482, 0.0060307979583740234, 0.0016090869903564453)
([5, 1, 50, 0.1, 0.5], 9.415800959122805, 0.00601506233215332, 0.0016410350799560547)
([5, 1, 50, 0.1, 0.7], 10.590482194878147, 0.006042957305908203, 0.0016210079193115234)
([5, 1, 50, 0.1, 0.9], 9.344183747802203, 0.006031990051269531, 0.0016388893127441406)
([5, 1, 50, 0.2, 0.1], 75.00391690205895, 0.006042003631591797, 0.0016179084777832031)
([5, 1, 50, 0.2, 0.3], 15.75354975538731, 0.005970001220703125, 0.0016131401062011719)
([5, 1, 50, 0.2, 0.5], 13.051714356034308, 0.005999088287353516, 0.001622915267944336)
([5, 1, 50, 0.2, 0.7], 19.273375684374393, 0.005984067916870117, 0.0016219615936279297)
([5, 1, 50, 0.2, 0.9], 10.533943920839658, 0.006026029586791992, 0.00162506103515625)
([5, 1, 50, 0.3, 0.1], 24.962480503647264, 0.005975008010864258, 0.0016198158264160156)
([5, 1, 50, 0.3, 0.3], 8.537778692074534, 0.005944967269897461, 0.0016369819641113281)
([5, 1, 50, 0.3, 0.5], 12.425208731586114, 0.005950927734375, 0.0016410350799560547)
([5, 1, 50, 0.3, 0.7], 11.804260913008374, 0.0060460567474365234, 0.0016369819641113281)
([5, 1, 50, 0.3, 0.9], 10.50779909762134, 0.00596308708190918, 0.0016069412231445312)
([5, 1, 50, 0.5, 0.1], 53.11238620436655, 0.006000041961669922, 0.0016307830810546875)
([5, 1, 50, 0.5, 0.3], 15.199200337416496, 0.0059850215911865234, 0.0016088485717773438)
([5, 1, 50, 0.5, 0.5], 11.5514017972566, 0.005986928939819336, 0.0016150474548339844)
([5, 1, 50, 0.5, 0.7], 12.22446661898666, 0.006012916564941406, 0.0016281604766845703)
([5, 1, 50, 0.5, 0.9], 9.926419613522349, 0.006012916564941406, 0.0016171932220458984)
([5, 1, 50, 0.8, 0.1], 29.784172471879554, 0.0059850215911865234, 0.0016279220581054688)
([5, 1, 50, 0.8, 0.3], 12.802589311950735, 0.006053924560546875, 0.0016231536865234375)
([5, 1, 50, 0.8, 0.5], 9.733882778519572, 0.0060138702392578125, 0.0016398429870605469)
([5, 1, 50, 0.8, 0.7], 12.664080661938343, 0.006011009216308594, 0.0016219615936279297)
([5, 1, 50, 0.8, 0.9], 9.993484965053181, 0.005982160568237305, 0.001622915267944336)
([5, 1, 100, 0.1, 0.1], 236.71690778083627, 0.00871419906616211, 0.0021419525146484375)
([5, 1, 100, 0.1, 0.3], 87.277364286767, 0.008501052856445312, 0.002115011215209961)
([5, 1, 100, 0.1, 0.5], 15.577578912537247, 0.008522987365722656, 0.0021638870239257812)
([5, 1, 100, 0.1, 0.7], 37.201335884469074, 0.008496999740600586, 0.002107858657836914)
([5, 1, 100, 0.1, 0.9], 69.9872041249623, 0.008482933044433594, 0.0021250247955322266)
([5, 1, 100, 0.2, 0.1], 23.798246076460863, 0.008471012115478516, 0.0021469593048095703)
([5, 1, 100, 0.2, 0.3], 43.8831669243571, 0.008521080017089844, 0.002109050750732422)
([5, 1, 100, 0.2, 0.5], 39.34589494215565, 0.008558988571166992, 0.002095937728881836)
([5, 1, 100, 0.2, 0.7], 56.761223045865755, 0.008436918258666992, 0.0021390914916992188)
([5, 1, 100, 0.2, 0.9], 31.21543541616097, 0.00852203369140625, 0.0021300315856933594)
([5, 1, 100, 0.3, 0.1], 99.7502527999598, 0.008508920669555664, 0.0021309852600097656)
([5, 1, 100, 0.3, 0.3], 45.99905203266777, 0.008484125137329102, 0.0021300315856933594)
([5, 1, 100, 0.3, 0.5], 34.122473833203685, 0.008554935455322266, 0.0021200180053710938)
([5, 1, 100, 0.3, 0.7], 53.448861798780136, 0.008493185043334961, 0.0021209716796875)
([5, 1, 100, 0.3, 0.9], 35.87749067520218, 0.008527994155883789, 0.0021271705627441406)
([5, 1, 100, 0.5, 0.1], 82.74129334079775, 0.008598804473876953, 0.002134084701538086)
([5, 1, 100, 0.5, 0.3], 46.444149339709504, 0.00850820541381836, 0.0021238327026367188)
([5, 1, 100, 0.5, 0.5], 37.078467146535, 0.008500099182128906, 0.002115964889526367)
([5, 1, 100, 0.5, 0.7], 12.474182550897417, 0.008488893508911133, 0.002135038375854492)
([5, 1, 100, 0.5, 0.9], 48.34709344693965, 0.008538007736206055, 0.0021250247955322266)
([5, 1, 100, 0.8, 0.1], 136.40645488464145, 0.008486032485961914, 0.0021059513092041016)
([5, 1, 100, 0.8, 0.3], 28.635685472944203, 0.00844883918762207, 0.0021288394927978516)
([5, 1, 100, 0.8, 0.5], 17.720341430120566, 0.00851297378540039, 0.0021331310272216797)
([5, 1, 100, 0.8, 0.7], 14.490466037437306, 0.008571147918701172, 0.0021347999572753906)
([5, 1, 100, 0.8, 0.9], 20.186954381016818, 0.00854802131652832, 0.0021278858184814453)
([5, 1, 200, 0.1, 0.1], 223.18595984769536, 0.013664007186889648, 0.0028429031372070312)
([5, 1, 200, 0.1, 0.3], 394.03355161533176, 0.013384103775024414, 0.0028409957885742188)
([5, 1, 200, 0.1, 0.5], 395.9159206559972, 0.013320207595825195, 0.002866029739379883)
([5, 1, 200, 0.1, 0.7], 158.7161831103209, 0.013431072235107422, 0.0028438568115234375)
([5, 1, 200, 0.1, 0.9], 95.20890602347204, 0.013422012329101562, 0.0028040409088134766)
