rmse,train_time,predict_time,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
185.95443757439463,1.7373854016635484,0.016550444764740244,"(0, 0, 1)","(1, 0, 0, 0)",t
175.86902577400042,2.5580566152841877,0.01779418512029863,"(0, 0, 1)","(1, 0, 1, 0)",t
174.4166808592914,2.9360658522885323,0.018486097614111848,"(0, 0, 1)","(1, 0, 2, 0)",t
182.24786390342933,3.1477303507772065,0.01664772407015872,"(0, 0, 1)","(2, 0, 0, 0)",t
206.8049954945007,4.866162648828853,0.01778510626524793,"(0, 0, 1)","(2, 0, 1, 0)",t
175.10700085711204,3.7525761432919214,0.01835714964679976,"(0, 0, 1)","(2, 0, 2, 0)",t
186.80408022248116,0.9898911591526453,0.028577065835502506,"(0, 0, 1)","(0, 0, 0, 0)",ct
182.13226788176274,1.4316973977524474,0.030390353389482056,"(0, 0, 1)","(0, 0, 1, 0)",ct
185.8420638306971,2.675931976076264,0.030932317566334282,"(0, 0, 1)","(0, 0, 2, 0)",ct
186.05395626241335,2.0495812366865707,0.028679269064363636,"(0, 0, 1)","(1, 0, 0, 0)",ct
177.75746053256543,2.9818147826732124,0.030442365972172748,"(0, 0, 1)","(1, 0, 1, 0)",ct
179.16177464549378,3.307725251640148,0.030493868627582157,"(0, 0, 1)","(1, 0, 2, 0)",ct
186.26034762326182,3.2092275950408067,0.02867511102171838,"(0, 0, 1)","(2, 0, 0, 0)",ct
181.80049546892593,3.8706967177340146,0.030449722161072428,"(0, 0, 1)","(2, 0, 1, 0)",ct
177.3836195130502,4.495407517977315,0.030862620434020056,"(0, 0, 1)","(2, 0, 2, 0)",ct
312.575942312091,0.3615155649920517,0.01192137270211325,"(0, 0, 2)","(0, 0, 0, 0)",n
293.9281194357426,0.6094270377538099,0.012501163697610404,"(0, 0, 2)","(0, 0, 1, 0)",n
275.63028637927476,0.609534388900793,0.013175477336734215,"(0, 0, 2)","(0, 0, 2, 0)",n
181.25526920654005,1.1346016238451286,0.012240382417382435,"(0, 0, 2)","(1, 0, 0, 0)",n
412905500727.55634,1.4343359238453748,0.01229175129819171,"(0, 0, 2)","(1, 0, 1, 0)",n
7166.83321956833,1.9375842270902044,0.01328897645889228,"(0, 0, 2)","(1, 0, 2, 0)",n
203.77610387337015,1.6519860601934249,0.012294266147545647,"(0, 0, 2)","(2, 0, 0, 0)",n
187.32116362087189,2.293291845355594,0.013346675451964246,"(0, 0, 2)","(2, 0, 1, 0)",n
211.03637196088548,2.7738154132453854,0.014716171567833156,"(0, 0, 2)","(2, 0, 2, 0)",n
236.7576435582101,0.9481105923228417,0.017520888985829562,"(0, 0, 2)","(0, 0, 0, 0)",c
229.16528142771247,2.148306245057184,0.01792484783475792,"(0, 0, 2)","(0, 0, 1, 0)",c
200.24459806523353,2.7124461468711303,0.01988241624436203,"(0, 0, 2)","(0, 0, 2, 0)",c
175.8469785739438,3.0354516599526185,0.018213323002608223,"(0, 0, 2)","(1, 0, 0, 0)",c
200.80060391109942,3.1161485207604063,0.018066430289833006,"(0, 0, 2)","(1, 0, 1, 0)",c
196.5654729722122,3.798582888724258,0.019544667620675842,"(0, 0, 2)","(1, 0, 2, 0)",c
201.3868556922768,4.704455127636875,0.017532925871626196,"(0, 0, 2)","(2, 0, 0, 0)",c
231.077792253431,5.252412302779699,0.018388418681822356,"(0, 0, 2)","(2, 0, 1, 0)",c
198.4363604595866,4.871391581753677,0.019149652720911788,"(0, 0, 2)","(2, 0, 2, 0)",c
181.28628826545219,1.2938547224902315,0.017179751594154295,"(0, 0, 2)","(0, 0, 0, 0)",t
185.54680945060434,2.086557128392646,0.017736683819500436,"(0, 0, 2)","(0, 0, 1, 0)",t
177.58826211939314,3.1512176549307394,0.018848735101140972,"(0, 0, 2)","(0, 0, 2, 0)",t
176.34027691604985,2.7864405254735076,0.017373077668611972,"(0, 0, 2)","(1, 0, 0, 0)",t
175.03653856538207,3.3935683822858094,0.017863815223902003,"(0, 0, 2)","(1, 0, 1, 0)",t
174.66827201339038,4.17575659305034,0.019083489161227804,"(0, 0, 2)","(1, 0, 2, 0)",t
174.8705999296129,3.3718284550934925,0.017271144251523634,"(0, 0, 2)","(2, 0, 0, 0)",t
1421867347.4803903,5.650435045237784,0.017671743463084085,"(0, 0, 2)","(2, 0, 1, 0)",t
174.8774841436692,5.259275215234903,0.01898210950876329,"(0, 0, 2)","(2, 0, 2, 0)",t
182.0060411251201,1.581854397716047,0.02970299601979103,"(0, 0, 2)","(0, 0, 0, 0)",ct
185.76294911214742,2.4275158647964856,0.030297798618303076,"(0, 0, 2)","(0, 0, 1, 0)",ct
177.83374826362623,3.6206083444796704,0.03206540964110749,"(0, 0, 2)","(0, 0, 2, 0)",ct
177.85501824277554,3.000693078284303,0.02970958491378549,"(0, 0, 2)","(1, 0, 0, 0)",ct
178.54896014924788,3.4284194746051395,0.0302769625879833,"(0, 0, 2)","(1, 0, 1, 0)",ct
178.53822423528047,4.448327778638611,0.03230471458299304,"(0, 0, 2)","(1, 0, 2, 0)",ct
182.5478409018432,3.503395149574868,0.02975835409877139,"(0, 0, 2)","(2, 0, 0, 0)",ct
182.71179209402575,4.880374664372256,0.030493579866764525,"(0, 0, 2)","(2, 0, 1, 0)",ct
177.27438773092237,5.7393149325573285,0.03218750653883458,"(0, 0, 2)","(2, 0, 2, 0)",ct
205.47336471108352,0.027849919148328607,0.01130597899675652,"(0, 1, 0)","(0, 0, 0, 0)",n
202.04113737138064,0.16750958720984407,0.01179492770564938,"(0, 1, 0)","(0, 0, 1, 0)",n
175.41459262161666,0.27740575070907214,0.012201155914813458,"(0, 1, 0)","(0, 0, 2, 0)",n
207.0206933394441,0.033272990411145266,0.011394018521653941,"(0, 1, 0)","(1, 0, 0, 0)",n
182.37784276598012,0.34422181339874813,0.012044110190684543,"(0, 1, 0)","(1, 0, 1, 0)",n
175.37377875704763,0.4971550959002222,0.012687074190639799,"(0, 1, 0)","(1, 0, 2, 0)",n
194.6536666226424,0.0402813438560332,0.011739428781529762,"(0, 1, 0)","(2, 0, 0, 0)",n
173.80941418834172,0.3907723514493533,0.011942915220701822,"(0, 1, 0)","(2, 0, 1, 0)",n
171.14187949597334,0.9222762468729437,0.01262454686781407,"(0, 1, 0)","(2, 0, 2, 0)",n
205.49832189909662,0.05711489809789692,0.016472897071431115,"(0, 1, 0)","(0, 0, 0, 0)",c
202.05805297761933,0.7437484691434342,0.017374222247484597,"(0, 1, 0)","(0, 0, 1, 0)",c
175.42008329473282,1.0759726207027231,0.018217158911491203,"(0, 1, 0)","(0, 0, 2, 0)",c
207.04373897323222,0.1966277124760131,0.016583692419429974,"(0, 1, 0)","(1, 0, 0, 0)",c
182.37793164330637,1.3183980618790234,0.017250612820029116,"(0, 1, 0)","(1, 0, 1, 0)",c
175.37176924654867,1.7838640857845862,0.017729307550269656,"(0, 1, 0)","(1, 0, 2, 0)",c
194.67221559307418,0.32392839010924207,0.017269483806116866,"(0, 1, 0)","(2, 0, 0, 0)",c
173.82061546315575,1.5035844174426929,0.017323953825383848,"(0, 1, 0)","(2, 0, 1, 0)",c
171.90110892830134,3.27524220957592,0.017678784305939048,"(0, 1, 0)","(2, 0, 2, 0)",c
205.54908343095653,0.3284509840950564,0.016486442527454237,"(0, 1, 0)","(0, 0, 0, 0)",t
202.10397383362425,0.8807367266002216,0.01734911334896427,"(0, 1, 0)","(0, 0, 1, 0)",t
175.34297659290468,1.2280379212765224,0.017811906436725585,"(0, 1, 0)","(0, 0, 2, 0)",t
207.09493686279646,0.5710982659816176,0.016500902911239387,"(0, 1, 0)","(1, 0, 0, 0)",t
182.3006915314511,1.5878902417767797,0.017428283306768922,"(0, 1, 0)","(1, 0, 1, 0)",t
176.80305220348748,2.270087088837177,0.0178340787989389,"(0, 1, 0)","(1, 0, 2, 0)",t
194.72641382374735,1.0528658412105247,0.017352506359276824,"(0, 1, 0)","(2, 0, 0, 0)",t
173.77763808209886,1.8617902610932664,0.017407162192311858,"(0, 1, 0)","(2, 0, 1, 0)",t
175.75721585567317,3.5467790199768503,0.01808020907364706,"(0, 1, 0)","(2, 0, 2, 0)",t
205.5747856188789,0.4660058776678988,0.029637944797321288,"(0, 1, 0)","(0, 0, 0, 0)",ct
202.08557515409697,1.1616164764051335,0.03100225255158448,"(0, 1, 0)","(0, 0, 1, 0)",ct
175.2313536880099,1.4362100918522085,0.03100395089508093,"(0, 1, 0)","(0, 0, 2, 0)",ct
207.1162251546276,0.7409452348417235,0.02863000946678442,"(0, 1, 0)","(1, 0, 0, 0)",ct
182.2891720757445,1.920690182689246,0.030278323525352976,"(0, 1, 0)","(1, 0, 1, 0)",ct
177.81423484258315,2.6861091251192284,0.03083483378092448,"(0, 1, 0)","(1, 0, 2, 0)",ct
194.73527588104156,1.2829452706401459,0.030154541859564548,"(0, 1, 0)","(2, 0, 0, 0)",ct
