rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff
1796200.4379238584,7.201570987701416,2.812795877456665,20,1,64,5,50,20,96
1786907.1861530647,7.16016697883606,2.753530979156494,20,1,64,5,50,30,96
1842280.744017327,6.829603910446167,2.7538909912109375,20,1,64,5,50,50,96
5341836.585815398,6.78889799118042,2.791874885559082,50,1,64,3,10,10,96
5943031.653534804,6.690562963485718,2.8539528846740723,50,1,64,3,10,20,96
5206073.035162546,6.742814064025879,2.86204195022583,50,1,64,3,10,30,96
5288108.649061199,6.7073609828948975,2.872415065765381,50,1,64,3,10,50,96
5539220.337624761,7.274992942810059,2.9536221027374268,50,1,64,3,20,10,96
5320711.458777079,7.153793096542358,2.95564603805542,50,1,64,3,20,20,96
6119195.699043965,7.071130990982056,2.9501969814300537,50,1,64,3,20,30,96
5857321.92714087,7.08611798286438,3.028571128845215,50,1,64,3,20,50,96
6601996.8497588355,8.470119953155518,3.0050649642944336,50,1,64,3,50,10,96
5745233.215446471,7.853427886962891,3.0454299449920654,50,1,64,3,50,20,96
5869513.471690937,7.877373933792114,3.157639980316162,50,1,64,3,50,30,96
5452589.646567668,7.489698171615601,3.087463855743408,50,1,64,3,50,50,96
6635417.299614221,7.539538860321045,3.195425033569336,50,1,64,5,10,10,96
5948116.643204239,7.441059827804565,3.1258199214935303,50,1,64,5,10,20,96
6381116.519746658,7.30573296546936,3.2173118591308594,50,1,64,5,10,30,96
5643237.4911749335,7.323194980621338,3.2125608921051025,50,1,64,5,10,50,96
5643761.81663753,8.874015092849731,3.282006025314331,50,1,64,5,20,10,96
5749692.733130912,7.87546706199646,3.3608789443969727,50,1,64,5,20,20,96
6337475.029832566,7.951323986053467,3.3672070503234863,50,1,64,5,20,30,96
6052439.71659233,7.802839994430542,3.384653091430664,50,1,64,5,20,50,96
5938386.915282023,9.267518997192383,3.322477102279663,50,1,64,5,50,10,96
6177190.659897485,8.745196104049683,3.356337070465088,50,1,64,5,50,20,96
5564728.80993156,8.59213399887085,3.3747589588165283,50,1,64,5,50,30,96
5869675.177970082,8.304971933364868,3.4873709678649902,50,1,64,5,50,50,96
